id,year,year_treated,time_to_treatment,treated,y
E06000008,2011,1000,-1000,0,22.7
E06000008,2012,1000,-1000,0,22.8
E06000008,2013,1000,-1000,0,23.1
E06000008,2014,1000,-1000,0,23.7
E06000008,2015,1000,-1000,0,24.8
E06000008,2016,1000,-1000,0,25.8
E06000008,2017,1000,-1000,0,26.6
E06000008,2018,1000,-1000,0,27.1
E06000008,2019,1000,-1000,0,27.8
E06000008,2020,1000,-1000,0,28.8
E06000008,2021,1000,-1000,0,29.8
E06000008,2022,1000,-1000,0,30.6
E06000009,2004,1000,-1000,0,18.5
E06000009,2005,1000,-1000,0,18.5
E06000009,2006,1000,-1000,0,18.8
E06000009,2007,1000,-1000,0,19
E06000009,2008,1000,-1000,0,19.5
E06000009,2009,1000,-1000,0,20
E06000009,2010,1000,-1000,0,20.7
E06000009,2011,1000,-1000,0,21.3
E06000009,2012,1000,-1000,0,21.6
E06000009,2013,1000,-1000,0,21.9
E06000009,2014,1000,-1000,0,22.4
E06000009,2015,1000,-1000,0,23.5
E06000009,2016,1000,-1000,0,24.6
E06000009,2017,1000,-1000,0,25.6
E06000009,2018,1000,-1000,0,26.5
E06000009,2019,1000,-1000,0,27.4
E06000009,2020,1000,-1000,0,28.4
E06000009,2021,1000,-1000,0,29.2
E06000009,2022,1000,-1000,0,29.7
E06000010,2004,1000,-1000,0,20.1
E06000010,2005,1000,-1000,0,19.9
E06000010,2006,1000,-1000,0,23
E06000010,2007,1000,-1000,0,25.3
E06000010,2008,1000,-1000,0,27.2
E06000010,2009,1000,-1000,0,27.6
E06000010,2010,1000,-1000,0,27
E06000010,2011,1000,-1000,0,25.8
E06000010,2012,1000,-1000,0,25.3
E06000010,2013,1000,-1000,0,25.7
E06000010,2014,1000,-1000,0,26.6
E06000010,2015,1000,-1000,0,27.6
E06000010,2016,1000,-1000,0,28
E06000010,2017,1000,-1000,0,28.3
E06000010,2018,1000,-1000,0,28.3
E06000010,2019,1000,-1000,0,28.8
E06000010,2020,1000,-1000,0,29.7
E06000010,2021,1000,-1000,0,31
E06000010,2022,1000,-1000,0,31.8
E06000011,2004,1000,-1000,0,26.7
E06000011,2005,1000,-1000,0,26.5
E06000011,2006,1000,-1000,0,27.6
E06000011,2007,1000,-1000,0,28
E06000011,2008,1000,-1000,0,28
E06000011,2009,1000,-1000,0,27.1
E06000011,2010,1000,-1000,0,26.6
E06000011,2011,1000,-1000,0,26.4
E06000011,2012,1000,-1000,0,26.9
E06000011,2013,1000,-1000,0,27.6
E06000011,2014,1000,-1000,0,28.3
E06000011,2015,1000,-1000,0,29.2
E06000011,2016,1000,-1000,0,29.8
E06000011,2017,1000,-1000,0,30.4
E06000011,2018,1000,-1000,0,31.3
E06000011,2019,1000,-1000,0,33.1
E06000011,2020,1000,-1000,0,36
E06000011,2021,1000,-1000,0,38.8
E06000011,2022,1000,-1000,0,40.4
E06000012,2004,1000,-1000,0,20.4
E06000012,2005,1000,-1000,0,20.2
E06000012,2006,1000,-1000,0,21.9
E06000012,2007,1000,-1000,0,22.6
E06000012,2008,1000,-1000,0,23
E06000012,2009,1000,-1000,0,22.9
E06000012,2010,1000,-1000,0,22.8
E06000012,2011,1000,-1000,0,23.2
E06000012,2012,1000,-1000,0,24.3
E06000012,2013,1000,-1000,0,25.5
E06000012,2014,1000,-1000,0,26.4
E06000012,2015,1000,-1000,0,26.7
E06000012,2016,1000,-1000,0,26.8
E06000012,2017,1000,-1000,0,26.9
E06000012,2018,1000,-1000,0,27.6
E06000012,2019,1000,-1000,0,29
E06000012,2020,1000,-1000,0,31.2
E06000012,2021,1000,-1000,0,33.1
E06000012,2022,1000,-1000,0,34.4
E06000013,2004,1000,-1000,0,25.4
E06000013,2005,1000,-1000,0,25.4
E06000013,2006,1000,-1000,0,26.8
E06000013,2007,1000,-1000,0,28.2
E06000013,2008,1000,-1000,0,29.6
E06000013,2009,1000,-1000,0,29.9
E06000013,2010,1000,-1000,0,29.7
E06000013,2011,1000,-1000,0,29
E06000013,2012,1000,-1000,0,29
E06000013,2013,1000,-1000,0,29.5
E06000013,2014,1000,-1000,0,30.4
E06000013,2015,1000,-1000,0,31.6
E06000013,2016,1000,-1000,0,32.4
E06000013,2017,1000,-1000,0,33.5
E06000013,2018,1000,-1000,0,34.2
E06000013,2019,1000,-1000,0,35.9
E06000013,2020,1000,-1000,0,38.7
E06000013,2021,1000,-1000,0,42.1
E06000013,2022,1000,-1000,0,44.6
E06000014,2004,1000,-1000,0,29.7
E06000014,2005,1000,-1000,0,29.5
E06000014,2006,1000,-1000,0,30.7
E06000014,2007,1000,-1000,0,31.3
E06000014,2008,1000,-1000,0,31.4
E06000014,2009,1000,-1000,0,30.9
E06000014,2010,1000,-1000,0,30.4
E06000014,2011,1000,-1000,0,30.3
E06000014,2012,1000,-1000,0,30.7
E06000014,2013,1000,-1000,0,31.5
E06000014,2014,1000,-1000,0,32.5
E06000014,2015,1000,-1000,0,33.6
E06000014,2016,1000,-1000,0,34.7
E06000014,2017,1000,-1000,0,35.4
E06000014,2018,1000,-1000,0,35.5
E06000014,2019,1000,-1000,0,35.6
E06000014,2020,1000,-1000,0,36.5
E06000014,2021,1000,-1000,0,37.9
E06000014,2022,1000,-1000,0,39.3
E06000015,2004,1000,-1000,0,27.7
E06000015,2005,1000,-1000,0,27.5
E06000015,2006,1000,-1000,0,28.9
E06000015,2007,1000,-1000,0,29.9
E06000015,2008,1000,-1000,0,31.1
E06000015,2009,1000,-1000,0,31.9
E06000015,2010,1000,-1000,0,32.5
E06000015,2011,1000,-1000,0,32.8
E06000015,2012,1000,-1000,0,33
E06000015,2013,1000,-1000,0,32.9
E06000015,2014,1000,-1000,0,32.6
E06000015,2015,1000,-1000,0,32.3
E06000015,2016,1000,-1000,0,32.2
E06000015,2017,1000,-1000,0,32
E06000015,2018,1000,-1000,0,32.6
E06000015,2019,1000,-1000,0,33.8
E06000015,2020,1000,-1000,0,35.5
E06000015,2021,1000,-1000,0,36.3
E06000015,2022,1000,-1000,0,36.6
E06000016,2004,1000,-1000,0,19.2
E06000016,2005,1000,-1000,0,19.1
E06000016,2006,1000,-1000,0,20.6
E06000016,2007,1000,-1000,0,21.7
E06000016,2008,1000,-1000,0,22.8
E06000016,2009,1000,-1000,0,23.6
E06000016,2010,1000,-1000,0,24.4
E06000016,2011,1000,-1000,0,25
E06000016,2012,1000,-1000,0,25.8
E06000016,2013,1000,-1000,0,26.4
E06000016,2014,1000,-1000,0,26.8
E06000016,2015,1000,-1000,0,26.8
E06000016,2016,1000,-1000,0,27.3
E06000016,2017,1000,-1000,0,28.4
E06000016,2018,1000,-1000,0,30.3
E06000016,2019,1000,-1000,0,32.1
E06000016,2020,1000,-1000,0,33.8
E06000016,2021,1000,-1000,0,35.1
E06000016,2022,1000,-1000,0,35.8
E06000017,2004,1000,-1000,0,26.2
E06000017,2005,1000,-1000,0,26.1
E06000017,2006,1000,-1000,0,26.1
E06000017,2007,1000,-1000,0,25.8
E06000017,2008,1000,-1000,0,25.6
E06000017,2009,1000,-1000,0,25.6
E06000017,2010,1000,-1000,0,26.2
E06000017,2011,1000,-1000,0,26.9
E06000017,2012,1000,-1000,0,27.7
E06000017,2013,1000,-1000,0,28.1
E06000017,2014,1000,-1000,0,28.6
E06000017,2015,1000,-1000,0,28.6
E06000017,2016,1000,-1000,0,29
E06000017,2017,1000,-1000,0,29.4
